"ano","ubigeo","conglome","vivienda","hogar","codperso","dominio","estrato","sexo","p208a","estciv","lengua","ultani","razest","trabsp","catocu","tipcon","otrtra","interh","id_individuo","edad"
"2023","040102","005515","095","11","04","6","1","Mujer","20","6","4","9",NA,"No",NA,NA,NA,"Sí","040102_005515_095_11_04",20
"2023","040102","005515","143","11","02","6","1","Mujer","21","6","4","9",NA,"No",NA,NA,NA,"Sí","040102_005515_143_11_02",21
"2023","040102","005515","143","11","03","6","1","Mujer","28","6","4","10",NA,"Sí","3","2","No","Sí","040102_005515_143_11_03",28
"2023","040110","005525","049","11","04","6","1","Hombre","27","6","4","10",NA,"Sí","3","7","No","Sí","040110_005525_049_11_04",27
"2023","040110","005525","079","11","02","6","1","Mujer","20","6","4","9",NA,"No",NA,NA,NA,"Sí","040110_005525_079_11_02",20
"2023","040110","005525","111","11","03","6","1","Hombre","22","6","4","9",NA,"No",NA,NA,NA,"Sí","040110_005525_111_11_03",22
"2023","040110","005525","111","11","04","6","1","Hombre","19","6","4","9",NA,"No",NA,NA,NA,"Sí","040110_005525_111_11_04",19
"2023","040110","005527","018","11","03","6","1","Hombre","23","6","4","5","9","No",NA,NA,NA,"Sí","040110_005527_018_11_03",23
"2023","040110","005527","018","11","04","6","1","Hombre","21","6","4","6","2","Sí","4","7","No","Sí","040110_005527_018_11_04",21
"2023","040110","005527","018","11","07","6","1","Hombre","27","5","4","6",NA,"Sí","4","7","No","Sí","040110_005527_018_11_07",27
"2023","040110","005527","114","11","02","6","1","Hombre","29","6","4","6",NA,"Sí","4","7","No","Sí","040110_005527_114_11_02",29
"2023","040110","005527","114","11","03","6","1","Mujer","26","6","4","10",NA,"Sí","4","7","No","Sí","040110_005527_114_11_03",26
"2023","040129","005561","026","11","02","6","1","Mujer","18","6","4","6","10","No",NA,NA,NA,"Sí","040129_005561_026_11_02",18
"2023","040122","005570","089","11","03","6","1","Hombre","26","6","4","10",NA,"No","3","2","No","Sí","040122_005570_089_11_03",26
"2023","040122","005570","089","11","04","6","1","Hombre","23","6","4","7",NA,"Sí","5","7","No","Sí","040122_005570_089_11_04",23
"2023","040122","005570","109","11","03","6","1","Hombre","23","6","4","9",NA,"Sí","3","2","No","Sí","040122_005570_109_11_03",23
"2023","040122","005570","109","11","04","6","1","Hombre","21","6","4","8","2","Sí","3","2","No","Sí","040122_005570_109_11_04",21
"2023","040107","005575","003","11","02","6","1","Mujer","26","6","4","8",NA,"Sí","3","7","Sí","Sí","040107_005575_003_11_02",26
"2023","040107","005575","003","11","03","6","1","Mujer","23","6","4","8",NA,"No",NA,NA,NA,"Sí","040107_005575_003_11_03",23
"2023","040107","005575","034","11","03","6","1","Hombre","22","6","4","7",NA,"Sí","3","4","No","Sí","040107_005575_034_11_03",22
"2023","040107","005575","034","11","04","6","1","Mujer","27","5","4","7",NA,"Sí","3","7","No","Sí","040107_005575_034_11_04",27
"2023","040123","005580","012","11","03","6","1","Mujer","23","6","4","9",NA,"No",NA,NA,NA,"Sí","040123_005580_012_11_03",23
"2023","040123","005580","055","11","03","6","1","Mujer","22","6","4","6","1","No",NA,NA,NA,"Sí","040123_005580_055_11_03",22
"2023","040123","005580","055","11","04","6","1","Mujer","20","6","4","9",NA,"Sí","3","7","No","Sí","040123_005580_055_11_04",20
"2023","040401","005589","007","11","02","6","5","Mujer","19","6","4","9",NA,"Sí","2",NA,"No","Sí","040401_005589_007_11_02",19
"2023","040401","005589","076","11","03","6","5","Mujer","21","5","4","6",NA,"No",NA,NA,NA,"Sí","040401_005589_076_11_03",21
"2023","040401","005589","089","11","02","6","5","Hombre","18","6","4","6",NA,"No",NA,NA,NA,"Sí","040401_005589_089_11_02",18
"2023","040128","005615","030","11","03","6","5","Mujer","22","6","4","6","2","Sí","2",NA,"No","Sí","040128_005615_030_11_03",22
"2023","040128","005615","030","11","04","6","5","Hombre","20","6","4","4","9","No",NA,NA,NA,"Sí","040128_005615_030_11_04",20
"2023","040128","005615","046","11","02","6","5","Hombre","21","6","4","7",NA,"No",NA,NA,NA,"Sí","040128_005615_046_11_02",21
"2023","040128","005615","046","11","03","6","5","Hombre","20","6","4","9",NA,"No",NA,NA,NA,"Sí","040128_005615_046_11_03",20
"2023","040128","005615","091","11","02","6","5","Hombre","22","6","4","7","2","Sí","3","2","No","Sí","040128_005615_091_11_02",22
"2023","040128","005615","091","11","03","6","5","Mujer","18","6","4","6","1","Sí","2",NA,"Sí","Sí","040128_005615_091_11_03",18
"2023","040128","005615","091","11","05","6","5","Mujer","25","5","4","7",NA,"Sí","3","2","No","Sí","040128_005615_091_11_05",25
"2023","040108","005629","015","11","03","3","5","Mujer","28","6","4","3",NA,"Sí","5","7","No","Sí","040108_005629_015_11_03",28
"2023","040108","005629","015","11","06","3","5","Mujer","25","5","4","6",NA,"Sí","5","7","No","Sí","040108_005629_015_11_06",25
"2023","040108","005629","092","11","02","3","5","Hombre","23","6","4","6",NA,"No",NA,NA,NA,"Sí","040108_005629_092_11_02",23
"2023","040702","005641","016","11","03","3","5","Mujer","25","6","4","10",NA,"No",NA,NA,NA,"Sí","040702_005641_016_11_03",25
"2023","040409","005657","131","11","03","6","7","Mujer","19","6","4","7",NA,"No",NA,NA,NA,"Sí","040409_005657_131_11_03",19
"2023","040108","005679","046","11","03","3","8","Hombre","18","6","4","6","3","No","5","7","No","Sí","040108_005679_046_11_03",18
NA,"040108","005679","145","11","04","3","8","Mujer","21","1",NA,NA,NA,NA,NA,NA,NA,NA,"040108_005679_145_11_04",21
"2023","050101","005691","008","11","02","5","2","Mujer","23","6","4","9",NA,"No",NA,NA,NA,"Sí","050101_005691_008_11_02",23
"2023","050101","005691","008","11","03","5","2","Hombre","20","6","4","9",NA,"No",NA,NA,NA,"Sí","050101_005691_008_11_03",20
"2023","050101","005691","102","11","01","5","2","Hombre","27","6","4","8",NA,"Sí","2",NA,"Sí","Sí","050101_005691_102_11_01",27
"2023","050101","005692","007","11","03","5","2","Mujer","21","6","4","6","2","Sí","3","7","No","Sí","050101_005692_007_11_03",21
"2023","050101","005692","053","11","03","5","2","Hombre","18","6","4","6","3","No",NA,NA,NA,"Sí","050101_005692_053_11_03",18
"2023","050101","005692","080","11","03","5","2","Hombre","28","6","4","9",NA,"Sí","4","5","No","Sí","050101_005692_080_11_03",28
"2023","050101","005692","080","11","04","5","2","Mujer","27","5","4","9",NA,"No",NA,NA,NA,"Sí","050101_005692_080_11_04",27
"2023","050101","005692","097","11","01","5","2","Hombre","28","1","1","8",NA,"Sí","4","7","Sí","Sí","050101_005692_097_11_01",28
"2023","050101","005692","097","11","02","5","2","Mujer","26","1","1","8",NA,"Sí","3","7","Sí","Sí","050101_005692_097_11_02",26
"2023","050101","005701","035","11","02","5","2","Hombre","20","6","4","6","3","No",NA,NA,NA,"Sí","050101_005701_035_11_02",20
"2023","050101","005701","084","11","02","5","2","Hombre","27","6","4","9",NA,"Sí","2",NA,"No","Sí","050101_005701_084_11_02",27
"2023","050101","005701","084","11","03","5","2","Mujer","23","6","4","9","2","Sí","3","7","No","Sí","050101_005701_084_11_03",23
"2023","050116","005703","195","11","02","5","2","Hombre","29","6","4","10",NA,"Sí","2",NA,"No","Sí","050116_005703_195_11_02",29
"2023","050101","005706","004","11","04","5","2","Mujer","25","6","4","7",NA,"No",NA,NA,NA,"Sí","050101_005706_004_11_04",25
"2023","050101","005706","004","11","06","5","2","Mujer","29","1","4","7",NA,"Sí","2",NA,"Sí","Sí","050101_005706_004_11_06",29
"2023","050110","005716","013","11","03","5","2","Hombre","21","6","4","6","11","No",NA,NA,NA,"Sí","050110_005716_013_11_03",21
"2023","050110","005716","071","11","03","5","2","Mujer","20","6","4","7",NA,"No",NA,NA,NA,"Sí","050110_005716_071_11_03",20
"2023","050110","005716","108","11","03","5","2","Hombre","23","6","4","9","6","Sí","2",NA,"No","Sí","050110_005716_108_11_03",23
"2023","050401","005728","007","11","02","5","4","Hombre","27","6","4","8",NA,"Sí","1",NA,"No","Sí","050401_005728_007_11_02",27
"2023","050401","005728","064","11","02","5","4","Mujer","26","6","4","9",NA,"No",NA,NA,NA,"Sí","050401_005728_064_11_02",26
"2023","050401","005728","064","11","03","5","4","Hombre","19","6","4","9",NA,"Sí","5","7","No","Sí","050401_005728_064_11_03",19
"2023","050509","005739","003","11","03","7","5","Mujer","20","6","1","7",NA,"Sí","3","7","No","Sí","050509_005739_003_11_03",20
"2023","050509","005739","003","11","04","7","5","Mujer","18","6","1","6","1","Sí","4","7","No","Sí","050509_005739_003_11_04",18
NA,"050509","005739","042","11","02","7","5","Mujer","20","6",NA,NA,NA,NA,NA,NA,NA,NA,"050509_005739_042_11_02",20
"2023","050509","005739","066","11","03","7","5","Hombre","18","6","4","6","3","No",NA,NA,NA,"Sí","050509_005739_066_11_03",18
